Gene stable ID	Gene name	NCBI gene ID
ENSRNOG00000030404	Arrb1	408
ENSRNOG00000030434	Rs1	6247
ENSRNOG00000047314	Tk1	7083
ENSRNOG00000059091	Potem	102724631
ENSRNOG00000059091	Potem	641455
ENSRNOG00000059091	Potem	317754
ENSRNOG00000059091	Potem	100996331
ENSRNOG00000027030	Adm	133
ENSRNOG00000021569	Tiam1	7074
ENSRNOG00000038212	Socs6	9306
ENSRNOG00000048145	Sstr1	6751
ENSRNOG00000011168	Micu2	221154
ENSRNOG00000001880	Dgcr6	8214
ENSRNOG00000017064	Tdrd1	56165
ENSRNOG00000013930	Rnf4	6047
ENSRNOG00000048540	Olr81	119679
ENSRNOG00000016933	Prl8a7	5617
ENSRNOG00000026175	Spata31e1	286234
ENSRNOG00000020067	Rab40c	57799
ENSRNOG00000002014	Stap1	26228
ENSRNOG00000024077	Fbxo5	26271
ENSRNOG00000011613	Ppip5k2	23262
ENSRNOG00000021987	Tnfrsf17	608
ENSRNOG00000042140	Eomes	8320
ENSRNOG00000025558	Palm2	114299
ENSRNOG00000024207	Fgfrl1	53834
ENSRNOG00000019741	Isyna1	51477
ENSRNOG00000006857	AABR07060833.1	79625
ENSRNOG00000026171	Bbs4	585
ENSRNOG00000046538	AC108323.2	386676
ENSRNOG00000046538	AC108323.2	386674
ENSRNOG00000046538	AC108323.2	386678
ENSRNOG00000046538	AC108323.2	386672
ENSRNOG00000000281	Prodh1	5625
ENSRNOG00000005053	Egln3	112399
ENSRNOG00000010263	Cldn11	5010
ENSRNOG00000004775	Cstf1	1477
ENSRNOG00000015525	Zswim3	140831
ENSRNOG00000022483	Trim50	135892
ENSRNOG00000017949	Mvb12a	93343
ENSRNOG00000015623	Guca1b	2979
ENSRNOG00000021750	Id1	3397
ENSRNOG00000049981	Olr186	390082
ENSRNOG00000005879	Maml2	84441
ENSRNOG00000001951	Csn3	1448
ENSRNOG00000054751	Lmbrd2	92255
ENSRNOG00000012503	Dnajc16	23341
ENSRNOG00000046909	Olr1166	26648
ENSRNOG00000016054	Tab2	23118
ENSRNOG00000021147	Bad	572
ENSRNOG00000039922	Olr1129	390882
ENSRNOG00000001571	Cldn8	9073
ENSRNOG00000023035	Smim8	57150
ENSRNOG00000029051	Olr132	390058
ENSRNOG00000042658	Nxnl1	115861
ENSRNOG00000014634	Gtpbp1	9567
ENSRNOG00000005099	Top3a	7156
ENSRNOG00000014318	Pth	5741
ENSRNOG00000030258	Fdcsp	260436
ENSRNOG00000019267	Dkk4	27121
ENSRNOG00000007006	Slc3a1	6519
ENSRNOG00000027126	Dpy30	84661
ENSRNOG00000008994	Arpc4	10093
ENSRNOG00000012714	RGD1564149	54058
ENSRNOG00000022331	Ccdc78	124093
ENSRNOG00000025527	Mtcl1	23255
ENSRNOG00000005934	Mlip	90523
ENSRNOG00000053292	AABR07008876.1	10326
ENSRNOG00000053292	AABR07008876.1	55423
ENSRNOG00000007886	Orm1	5004
ENSRNOG00000007886	Orm1	5005
ENSRNOG00000022160	Rtp2	344892
ENSRNOG00000052834	AC241244.1	2745
ENSRNOG00000005856	Slc30a6	55676
ENSRNOG00000058800	AC243283.1	2745
ENSRNOG00000013845	Mrpl21	219927
ENSRNOG00000000008	Alx4	60529
ENSRNOG00000033609	Irx1	79192
ENSRNOG00000046922	Phactr4	65979
ENSRNOG00000002452	Txndc11	51061
ENSRNOG00000018674	Ntrk3	4916
ENSRNOG00000024931	Ccdc88b	283234
ENSRNOG00000019501	Rmnd1	55005
ENSRNOG00000038366	Larp1b	55132
ENSRNOG00000032857	Klk1c9	3816
ENSRNOG00000009936	Dido1	11083
ENSRNOG00000026271	Tmem245	23731
ENSRNOG00000006340	Memo1	51072
ENSRNOG00000002323	RGD1566265	57132
ENSRNOG00000048471	AABR07054355.1	3146
ENSRNOG00000004899	Kcns3	3790
ENSRNOG00000009726	Grip2	80852
ENSRNOG00000027249	Fancl	55120
ENSRNOG00000009656	Rspo1	284654
ENSRNOG00000016423	Tacc1	6867
ENSRNOG00000005424	Odc1	4953
ENSRNOG00000058285	Nme8	51314
ENSRNOG00000012989	Serinc2	347735
ENSRNOG00000046583	Olr1365	4992
ENSRNOG00000017637	Fbp2	8789
ENSRNOG00000048122	Hist1h2aa	221613
ENSRNOG00000050111	Cenpo	79172
ENSRNOG00000012414	Rhobtb3	22836
ENSRNOG00000021247	Spef1	25876
ENSRNOG00000013232	Nr6a1	2649
ENSRNOG00000007069	Adhfe1	137872
ENSRNOG00000007038	Cntn5	53942
ENSRNOG00000049832	Olr281	390093
ENSRNOG00000049832	Olr281	26496
ENSRNOG00000028518	Msgn1	343930
ENSRNOG00000014907	Aldh8a1	64577
ENSRNOG00000018964	Gss	2937
ENSRNOG00000007080	Kif12	113220
ENSRNOG00000024843	Prl8a9	5617
ENSRNOG00000010260	Dixdc1	85458
ENSRNOG00000060949	Anxa8	653145
ENSRNOG00000055365	Edem1	9695
ENSRNOG00000009983	Lrrc42	115353
ENSRNOG00000043017	Krtap7-1	337878
ENSRNOG00000026902	Lyve1	10894
ENSRNOG00000004210	Osr1	130497
ENSRNOG00000017795	Hspbp1	23640
ENSRNOG00000043402	Cldn34d	100288814
ENSRNOG00000025040	Gng10	2790
ENSRNOG00000003590	Tom1l2	146691
ENSRNOG00000013892	Cby1	25776
ENSRNOG00000031202	Trim30c	85363
ENSRNOG00000015465	Cep72	55722
ENSRNOG00000023768	Rundc1	146923
ENSRNOG00000004403	Slc25a32	81034
ENSRNOG00000022771	Arhgap23	57636
ENSRNOG00000056550	Epb41l4b	54566
ENSRNOG00000042264	AABR07031734.13	56104
ENSRNOG00000026236	Morc3	23515
ENSRNOG00000016434	Prkd2	25865
ENSRNOG00000048769	Nek5	341676
ENSRNOG00000006302	Gclc	2729
ENSRNOG00000010853	Chrna7	1139
ENSRNOG00000003329	Ppm1d	8493
ENSRNOG00000005641	Fbxl4	26235
ENSRNOG00000005209	Spred1	161742
ENSRNOG00000000907	Alox5ap	241
ENSRNOG00000049717	Olr189	390082
ENSRNOG00000003999	Adcy3	109
ENSRNOG00000024846	Ier5l	389792
ENSRNOG00000002154	Mepe	56955
ENSRNOG00000051980	LOC103694873	150248
ENSRNOG00000059698	Gpr141	353345
ENSRNOG00000008055	Ccne2	9134
ENSRNOG00000050476	AABR07002247.1	55659
ENSRNOG00000028404	Ppp1r1b	84152
ENSRNOG00000007415	Ptgs1	5742
ENSRNOG00000008459	Anapc13	25847
ENSRNOG00000039743	Zdhhc11	653082
ENSRNOG00000039743	Zdhhc11	79844
ENSRNOG00000016462	LOC102547287	7748
ENSRNOG00000020212	Prr35	146325
ENSRNOG00000019956	Kdm4a	9682
ENSRNOG00000000316	Sobp	55084
ENSRNOG00000001220	LOC100361664	386676
ENSRNOG00000001220	LOC100361664	386674
ENSRNOG00000001220	LOC100361664	386678
ENSRNOG00000001220	LOC100361664	386672
ENSRNOG00000004373	Ddx39a	10212
ENSRNOG00000055078	Cyp4b1	1580
ENSRNOG00000016321	Entpd4	9583
ENSRNOG00000014366	Shc3	53358
ENSRNOG00000026489	Olr1125	390883
ENSRNOG00000016041	Zc3h12d	340152
ENSRNOG00000061064	AABR07027128.1	286234
ENSRNOG00000009653	Numb	8650
ENSRNOG00000023093	Mis18bp1	55320
ENSRNOG00000007351	Ggh	8836
ENSRNOG00000011425	Ptpn3	5774
ENSRNOG00000013807	Dmc1	11144
ENSRNOG00000011304	Tpd52l3	89882
ENSRNOG00000007000	Grhl2	79977
ENSRNOG00000011154	Adgrf5	221395
ENSRNOG00000008781	Erg28	11161
ENSRNOG00000005376	Mad2l1	4085
ENSRNOG00000016510	Prl7d1	5617
ENSRNOG00000018755	Acss2	55902
ENSRNOG00000007657	Col27a1	85301
ENSRNOG00000032034	Supt5h	6829
ENSRNOG00000012591	Pkd2l1	9033
ENSRNOG00000030790	Ctnnd1	1500
ENSRNOG00000028114	Hbq1a	3049
ENSRNOG00000049425	Fam167b	84734
ENSRNOG00000025998	AABR07045485.1	202
ENSRNOG00000014465	Oca2	4948
ENSRNOG00000026195	LOC689725	286234
ENSRNOG00000012944	Casp9	842
ENSRNOG00000049154	AABR07027730.1	5617
ENSRNOG00000028872	Rai14	26064
ENSRNOG00000018090	Ppp6r1	22870
ENSRNOG00000024082	Gldn	342035
ENSRNOG00000009661	Tgds	23483
ENSRNOG00000011882	Gab2	9846
ENSRNOG00000055451	Gcnt4	51301
ENSRNOG00000018191	Oprm1	4988
ENSRNOG00000052688	Dnah2	146754
ENSRNOG00000028658	Olig2	10215
ENSRNOG00000049970	AABR07044570.1	8566
ENSRNOG00000049970	AABR07044570.1	105372824
ENSRNOG00000021808	Tecr	9524
ENSRNOG00000015131	Ube2c	11065
ENSRNOG00000004301	Dcaf13	25879
ENSRNOG00000012939	Abca7	10347
ENSRNOG00000060011	LOC103694871	29802
ENSRNOG00000030330	AABR07040095.1	83259
ENSRNOG00000017376	Il21	59067
ENSRNOG00000015030	Tjp2	9414
ENSRNOG00000049064	Olr1135	125962
ENSRNOG00000022730	Zfp57	346171
ENSRNOG00000009930	Pigo	84720
ENSRNOG00000017775	Slc5a1	6523
ENSRNOG00000028394	Vpreb3	29802
ENSRNOG00000017213	Cdk11b	728642
ENSRNOG00000019578	Rps16	6217
ENSRNOG00000013938	Tshz3	57616
ENSRNOG00000009037	Sulf1	23213
ENSRNOG00000055236	Gemin4	50628
ENSRNOG00000000634	Cabcoco1	219621
ENSRNOG00000013908	Bpifa5	51297
ENSRNOG00000000170	Slc30a4	7782
ENSRNOG00000047847	AABR07004975.1	390093
ENSRNOG00000047847	AABR07004975.1	26496
ENSRNOG00000012685	Adck1	57143
ENSRNOG00000013728	Polg2	11232
ENSRNOG00000013426	Mrgprf	116535
ENSRNOG00000007869	Wscd1	23302
ENSRNOG00000037199	Spink8	646424
ENSRNOG00000001647	Ets2	2114
ENSRNOG00000018242	Camkk1	84254
ENSRNOG00000046670	Klk1c10	3816
ENSRNOG00000047230	AABR07002134.1	90233
ENSRNOG00000047171	Rnf8	9025
ENSRNOG00000017597	Fbp1	2203
ENSRNOG00000061237	Dio1	1733
ENSRNOG00000015552	Ppil4	85313
ENSRNOG00000054286	Rrm2	6241
ENSRNOG00000054286	Rrm2	348738
ENSRNOG00000017488	Snx24	28966
ENSRNOG00000047186	LOC100912306	9499
ENSRNOG00000048736	Mllt1	4298
ENSRNOG00000026455	Gpd1l	23171
ENSRNOG00000010266	Cd180	4064
ENSRNOG00000027944	Pnma8a	55228
ENSRNOG00000002553	Smim14	201895
ENSRNOG00000002417	Serpinb10	5273
ENSRNOG00000004216	Lrr1	122769
ENSRNOG00000029773	Atm	472
ENSRNOG00000020693	Tmem138	51524
ENSRNOG00000014623	Smurf2	64750
ENSRNOG00000042037	Smim7	79086
ENSRNOG00000003028	Dnah17	8632
ENSRNOG00000013140	Pdzd2	23037
ENSRNOG00000032630	Mrps28	28957
ENSRNOG00000029158	LOC100362173	100288814
ENSRNOG00000020678	Ifi35	3430
ENSRNOG00000001223	Pttg1ip	754
ENSRNOG00000018463	Tctex1d4	343521
ENSRNOG00000014761	Rasd2	23551
ENSRNOG00000018183	Ubr4	23352
ENSRNOG00000001867	Snap29	9342
ENSRNOG00000050016	Gtf3a	2971
ENSRNOG00000039740	Cenpk	64105
ENSRNOG00000047133	Jrkl	8690
ENSRNOG00000048495	Rrp12	23223
ENSRNOG00000061814	LOC103693608	9993
ENSRNOG00000039782	AABR07016992.1	2745
ENSRNOG00000005250	Abcg5	64240
ENSRNOG00000027026	Jazf1	221895
ENSRNOG00000019698	Ssbp4	170463
ENSRNOG00000024264	Amz1	155185
ENSRNOG00000008597	Tada3	10474
ENSRNOG00000014768	Glis3	169792
ENSRNOG00000002991	Srr	63826
ENSRNOG00000049114	Olr1380	4992
ENSRNOG00000015760	Olr78	119682
ENSRNOG00000021763	Ffar4	338557
ENSRNOG00000047800	C5ar1	728
ENSRNOG00000013553	Ngrn	51335
ENSRNOG00000001950	Cabs1	85438
ENSRNOG00000015093	Sparcl1	8404
ENSRNOG00000020062	LOC108348233	56130
ENSRNOG00000018808	Vip	7432
ENSRNOG00000017250	Gmpr	2766
ENSRNOG00000057645	Micb	100507436
ENSRNOG00000001570	LOC100363136	337959
ENSRNOG00000001570	LOC100363136	140258
ENSRNOG00000050719	AABR07009357.1	6388
ENSRNOG00000019533	AABR07026957.1	26249
ENSRNOG00000005375	RGD1564053	116328
ENSRNOG00000016334	Ptbp3	9991
ENSRNOG00000013565	Zfp507	22847
ENSRNOG00000047368	Acer1	125981
ENSRNOG00000046547	Rbm24	221662
ENSRNOG00000011568	Rspo3	84870
ENSRNOG00000048545	LOC100910483	23253
ENSRNOG00000053240	Soga1	140710
ENSRNOG00000039454	Pcdhgb7	56099
ENSRNOG00000059683	Mpp2	4355
ENSRNOG00000005165	Smcr8	140775
ENSRNOG00000050920	Prl3d1	5617
ENSRNOG00000055779	Tdrd7	23424
ENSRNOG00000019955	Ogdhl	55753
ENSRNOG00000002980	Tsr1	55720
ENSRNOG00000024975	Atp8b3	148229
ENSRNOG00000021085	Sf1	7536
ENSRNOG00000022781	Ccser2	54462
ENSRNOG00000022664	Kat7	11143
ENSRNOG00000061522	Olr170	79473
ENSRNOG00000031494	Armh1	339541
ENSRNOG00000020492	AC094246.1	6233
ENSRNOG00000004863	Mpped2	744
ENSRNOG00000017165	Akr1e2	83592
ENSRNOG00000018231	Nacc2	138151
ENSRNOG00000018170	Slc27a1	376497
ENSRNOG00000016046	Hecw1	23072
ENSRNOG00000049544	Olr137	390061
ENSRNOG00000002908	Slc35a4	113829
ENSRNOG00000004068	Ncoa1	8648
ENSRNOG00000016689	Fanci	55215
ENSRNOG00000017089	Prl6a1	5617
ENSRNOG00000058755	Tgm5	9333
ENSRNOG00000025321	AABR07007769.1	256006
ENSRNOG00000000047	Cd82	3732
ENSRNOG00000008079	Ugp2	7360
ENSRNOG00000006681	Rdh10	157506
ENSRNOG00000038489	Sumo3	6612
ENSRNOG00000015085	Dmpk	1760
ENSRNOG00000023086	Arpp19	10776
ENSRNOG00000030719	Csmd1	64478
ENSRNOG00000055389	Olr172	390077
ENSRNOG00000016616	Prl7a3	5617
ENSRNOG00000000283	Ess2	8220
ENSRNOG00000017016	Ubqlnl	143630
ENSRNOG00000047259	Olr1368	4992
ENSRNOG00000047091	Psmb11	122706
ENSRNOG00000017150	Med10	84246
ENSRNOG00000039581	AABR07027111.1	286234
ENSRNOG00000032580	LOC100909879	10326
ENSRNOG00000032580	LOC100909879	55423
ENSRNOG00000048256	Fam160a1	729830
ENSRNOG00000029216	AABR07072266.1	9993
ENSRNOG00000014902	Stx11	8676
ENSRNOG00000055649	AC242273.1	2745
ENSRNOG00000023972	Col4a2	1284
ENSRNOG00000042474	AABR07033979.1	55216
ENSRNOG00000012820	Add3	120
ENSRNOG00000012505	Ppwd1	23398
ENSRNOG00000016998	Atxn1	6310
ENSRNOG00000026937	Arsk	153642
ENSRNOG00000011282	Ppp2r1a	5518
ENSRNOG00000026351	Cldn34e	100288814
ENSRNOG00000018316	Grap2	9402
ENSRNOG00000030486	Prdm6	93166
ENSRNOG00000031421	Eif1a	9086
ENSRNOG00000020028	Pcdhb22	56121
ENSRNOG00000022060	Magi1	9223
ENSRNOG00000011566	Cecr2	27443
ENSRNOG00000010299	Eps15	2060
ENSRNOG00000054006	Spaca7	122258
ENSRNOG00000021093	Syngr4	23546
ENSRNOG00000015940	Olr113	283111
ENSRNOG00000045637	Rnf14	9604
ENSRNOG00000004697	Baalc	79870
ENSRNOG00000008210	Ky	339855
ENSRNOG00000024930	Smim19	114926
ENSRNOG00000000169	Spata5l1	79029
ENSRNOG00000016553	Vwa5b1	127731
ENSRNOG00000024568	Ndufs7	374291
ENSRNOG00000050827	NEWGENE_1310561	9141
ENSRNOG00000058288	Tcf19	6941
ENSRNOG00000032530	AABR07072821.1	386676
ENSRNOG00000032530	AABR07072821.1	386674
ENSRNOG00000032530	AABR07072821.1	386678
ENSRNOG00000032530	AABR07072821.1	386672
ENSRNOG00000031312	Tnfrsf1a	7132
ENSRNOG00000005308	Tmx2	51075
ENSRNOG00000003228	Mid1ip1	58526
ENSRNOG00000027125	Mboat1	154141
ENSRNOG00000021096	Tmem143	55260
ENSRNOG00000021365	Ybey	54059
ENSRNOG00000055525	Kmt2b	9757
ENSRNOG00000008815	Fbxo46	23403
ENSRNOG00000021885	Gphb5	122876
ENSRNOG00000021133	Lsm14a	26065
ENSRNOG00000056887	Olr174	390077
ENSRNOG00000026941	Tril	9865
ENSRNOG00000046267	AABR07003224.1	354
ENSRNOG00000046267	AABR07003224.1	3817
ENSRNOG00000050251	MGC105649	84419
ENSRNOG00000009046	Phf13	148479
ENSRNOG00000014460	Hivep1	3096
ENSRNOG00000055344	Trnau1ap	54952
ENSRNOG00000049712	Olr1174	125958
ENSRNOG00000009172	Cpvl	54504
ENSRNOG00000058739	Snn	8303
ENSRNOG00000014584	Odf2	4957
ENSRNOG00000015468	Bpifb1	92747
ENSRNOG00000059348	LOC103694902	7320
ENSRNOG00000007964	Tp53inp1	94241
ENSRNOG00000047727	Olr1375	4992
ENSRNOG00000033653	Mpp3	4356
ENSRNOG00000018992	Dpysl3	1809
ENSRNOG00000047657	C4a	721
ENSRNOG00000057827	Lmln2	100128908
ENSRNOG00000046057	Pnmt	5409
ENSRNOG00000029850	Tgif2lx2	90655
ENSRNOG00000012084	Xpnpep1	7511
ENSRNOG00000007948	Nf2	4771
ENSRNOG00000045543	Frat2	23401
ENSRNOG00000037957	Aifm3	150209
ENSRNOG00000000439	Ager	177
ENSRNOG00000038902	RGD1565641	401466
ENSRNOG00000002555	Serpinb7	8710
ENSRNOG00000002420	Zc3h7a	29066
ENSRNOG00000018461	Pdgfrb	5159
ENSRNOG00000049661	Inafm1	255783
ENSRNOG00000017066	Zfp384	171017
ENSRNOG00000057724	AC118957.2	1734
ENSRNOG00000014940	Sfrp5	6425
ENSRNOG00000050672	Ervfrd-1	405754
ENSRNOG00000013802	Slc25a36	55186
ENSRNOG00000020020	Wbp1l	54838
ENSRNOG00000030856	Olr1118	390882
ENSRNOG00000021847	Ska3	221150
ENSRNOG00000007722	Fam57a	79850
ENSRNOG00000013832	Fam193a	8603
ENSRNOG00000011653	Washc2c	387680
ENSRNOG00000028097	Slc7a14	57709
ENSRNOG00000050706	Col25a1	84570
ENSRNOG00000012862	Spsb4	92369
ENSRNOG00000030654	Man2c1	4123
ENSRNOG00000023833	Ubqln3	50613
ENSRNOG00000048018	LOC100911988	390882
ENSRNOG00000038200	Rttn	25914
ENSRNOG00000046252	Tbl2	26608
ENSRNOG00000016993	Olr148	390066
ENSRNOG00000018247	Dhx58	79132
ENSRNOG00000014078	Ndufb8	4714
ENSRNOG00000012340	Tmco2	127391
ENSRNOG00000012121	Sdf2	6388
ENSRNOG00000015744	Spata25	128497
ENSRNOG00000013774	Lmnb1	4001
ENSRNOG00000000528	Fgd2	221472
ENSRNOG00000055499	Grid1	2894
ENSRNOG00000005111	Nutm1	256646
ENSRNOG00000013947	Rabl2	11158
ENSRNOG00000048250	Tmem159	57146
ENSRNOG00000002164	Nmu	10874
ENSRNOG00000015413	Qpctl	54814
ENSRNOG00000023322	Ostc	58505
ENSRNOG00000027194	Sgsm2	9905
ENSRNOG00000001217	Lrrc3	81543
ENSRNOG00000009032	Ttll3	26140
ENSRNOG00000009032	Ttll3	100526693
ENSRNOG00000021119	Pdcd2l	84306
ENSRNOG00000020084	Pcdhb5	56131
ENSRNOG00000007739	Rars	5917
ENSRNOG00000003533	Clcn4	1183
ENSRNOG00000050607	AABR07027637.1	5617
ENSRNOG00000006670	Rai2	10742
ENSRNOG00000046487	Pou5f1	5460
ENSRNOG00000038365	Plekha2	59339
ENSRNOG00000034075	Ube2ql1	134111
ENSRNOG00000010156	Snapc5	10302
ENSRNOG00000018193	Poc5	134359
ENSRNOG00000010592	Slc25a27	9481
ENSRNOG00000026178	Adpgk	83440
ENSRNOG00000051993	Gdf10	2662
ENSRNOG00000046999	Olr159	390072
ENSRNOG00000047649	LOC684107	5617
ENSRNOG00000014801	Exog	9941
ENSRNOG00000043302	LOC690478	386676
ENSRNOG00000043302	LOC690478	386674
ENSRNOG00000043302	LOC690478	386678
ENSRNOG00000043302	LOC690478	386672
ENSRNOG00000017816	Pde6a	5145
ENSRNOG00000022697	Clec14a	161198
ENSRNOG00000001849	Mapk1	5594
ENSRNOG00000002930	Ppl	5493
ENSRNOG00000047662	Klk1c12	3816
ENSRNOG00000010258	Vhl	7428
ENSRNOG00000015667	Epcam	4072
ENSRNOG00000029244	Pcdhb10	26167
ENSRNOG00000046505	Bend3	57673
ENSRNOG00000004161	Mtif2	4528
ENSRNOG00000007946	Bcl2l1	598
ENSRNOG00000028668	Slc28a2	9153
ENSRNOG00000019684	Fam173a	65990
ENSRNOG00000009491	Phc3	80012
ENSRNOG00000017991	Cdk20	23552
ENSRNOG00000043103	Frrs1l	23732
ENSRNOG00000001059	Usp42	84132
ENSRNOG00000005045	Ppp2r5e	5529
ENSRNOG00000049485	Olr120	283111
ENSRNOG00000018387	Wdr7	23335
ENSRNOG00000012106	Dnaja4	55466
ENSRNOG00000023874	Tmem62	80021
ENSRNOG00000015332	Thoc1	9984
ENSRNOG00000012315	Agmat	79814
ENSRNOG00000011476	Nars2	79731
ENSRNOG00000004246	Spag7	9552
ENSRNOG00000017462	Spata5	166378
ENSRNOG00000019276	Dele1	9812
ENSRNOG00000046271	Gspt1	2935
ENSRNOG00000024889	Snip1	79753
ENSRNOG00000001451	Fkbp6	8468
ENSRNOG00000007152	Bhlhe40	8553
ENSRNOG00000026392	Cdh12	1010
ENSRNOG00000009724	Tstd2	158427
ENSRNOG00000046005	Scd2	6319
ENSRNOG00000037655	Gatb	5188
ENSRNOG00000014691	Ric3	79608
ENSRNOG00000039876	LOC681410	10949
ENSRNOG00000062090	Sry	6736
ENSRNOG00000047575	Dhx34	9704
ENSRNOG00000019368	Scnn1a	6337
ENSRNOG00000018690	Rgs17	26575
ENSRNOG00000002778	Aatf	26574
ENSRNOG00000029802	Olr1156	390882
ENSRNOG00000021573	Dpy19l3	147991
ENSRNOG00000033813	Olr180	390078
ENSRNOG00000033813	Olr180	390079
ENSRNOG00000047503	Apoc3	345
ENSRNOG00000016122	Hmgcr	3156
ENSRNOG00000048374	Krtap24-1	643803
ENSRNOG00000027195	Clrn2	645104
ENSRNOG00000047052	Clpp	8192
ENSRNOG00000016381	Ust	10090
ENSRNOG00000021953	Meioc	284071
ENSRNOG00000017092	Zfp169	169841
ENSRNOG00000001789	Zfp148	7707
ENSRNOG00000012183	Glrx	2745
ENSRNOG00000019799	Pcdhgc3	5098
ENSRNOG00000019159	Jakmip2	9832
ENSRNOG00000055909	Apoa4	337
ENSRNOG00000053790	AABR07036007.1	51142
ENSRNOG00000003972	Tshr	7253
ENSRNOG00000053554	AC242583.1	2745
ENSRNOG00000020081	As3mt	57412
ENSRNOG00000042962	Pdss2	57107
ENSRNOG00000019612	Haghl	84264
ENSRNOG00000050349	Mylk4	340156
ENSRNOG00000012831	Slc25a26	115286
ENSRNOG00000022726	Lrit2	340745
ENSRNOG00000020076	Borcs7	119032
ENSRNOG00000010434	Dync1li1	51143
ENSRNOG00000016865	Hist1h2ba	255626
ENSRNOG00000025781	Sec31b	25956
ENSRNOG00000043288	Smim13	221710
ENSRNOG00000012081	Txn1	7295
ENSRNOG00000017983	Ubac1	10422
ENSRNOG00000001090	Stard13	90627
ENSRNOG00000060045	Pi4ka	5297
ENSRNOG00000049952	Gucd1	83606
ENSRNOG00000016488	Pltp	5360
ENSRNOG00000027311	Nutm2f	54754
ENSRNOG00000061199	Tcfl5	10732
ENSRNOG00000010906	Ccl5	6352
ENSRNOG00000001870	Lztr1	8216
ENSRNOG00000012358	Pcyt1b	9468
ENSRNOG00000024111	Cage1	285782
ENSRNOG00000020805	Sost	50964
ENSRNOG00000008334	Crocc	9696
ENSRNOG00000006715	Ccr1	1230
ENSRNOG00000025371	Spry1	10252
ENSRNOG00000050565	Olr1130	390882
ENSRNOG00000027136	Spast	6683
ENSRNOG00000014590	Stk33	65975
ENSRNOG00000045802	Olr1374	4992
ENSRNOG00000025476	Tmem252	169693
ENSRNOG00000033150	Olr1179	26648
ENSRNOG00000045668	Ifnar2	3455
ENSRNOG00000021332	Olr86	79296
ENSRNOG00000010282	Ninj2	4815
ENSRNOG00000055025	Fam25a	100133093
ENSRNOG00000055025	Fam25a	644054
ENSRNOG00000018094	Sv2c	22987
ENSRNOG00000009815	Pnma2	10687
ENSRNOG00000026874	Zfp956	79818
ENSRNOG00000026874	Zfp956	100293516
ENSRNOG00000052075	AC241930.1	2745
ENSRNOG00000046946	Ptchd3	374308
ENSRNOG00000039674	AABR07034657.1	387082
ENSRNOG00000020238	Plekhh3	79990
ENSRNOG00000050905	Olr1382	4992
ENSRNOG00000043350	Cap2	10486
ENSRNOG00000015686	Col4a3bp	10087
ENSRNOG00000007671	Smu1	55234
ENSRNOG00000018874	Phf19	26147
ENSRNOG00000055524	Trip10	9322
ENSRNOG00000012763	Cwf19l1	55280
ENSRNOG00000012716	Chd2	1106
ENSRNOG00000004841	Akap6	9472
ENSRNOG00000000633	Rhobtb1	9886
ENSRNOG00000048975	Trim42	287015
ENSRNOG00000039859	Dnmt1	1786
ENSRNOG00000031475	Col16a1	1307
ENSRNOG00000014828	Avpi1	60370
ENSRNOG00000004563	Sec24a	10802
ENSRNOG00000034126	Pcdhga2	56113
ENSRNOG00000002602	Serpinb12	89777
ENSRNOG00000058020	AABR07030469.2	386678
ENSRNOG00000058020	AABR07030469.2	386672
ENSRNOG00000015857	Ctsa	5476
ENSRNOG00000003080	AABR07021945.1	64963
ENSRNOG00000038437	LOC108350839	3146
ENSRNOG00000000636	Rtkn2	219790
ENSRNOG00000007624	Il4	3565
ENSRNOG00000000956	Rasl11a	387496
ENSRNOG00000000606	Pcdh15	65217
ENSRNOG00000020103	Pcdhb1	29930
ENSRNOG00000027466	Cd27	939
ENSRNOG00000019824	Ell	8178
ENSRNOG00000008292	Hif1a	3091
ENSRNOG00000043512	AABR07005040.1	4695
ENSRNOG00000021578	Wfikkn1	117166
ENSRNOG00000032871	Mlc1	23209
ENSRNOG00000008323	Pitpnm3	83394
ENSRNOG00000005665	AABR07041481.1	6396
ENSRNOG00000019000	Limk2	3985
ENSRNOG00000054681	LOC108348042	102724631
ENSRNOG00000054681	LOC108348042	641455
ENSRNOG00000054681	LOC108348042	317754
ENSRNOG00000054681	LOC108348042	100996331
ENSRNOG00000001652	Erg	2078
ENSRNOG00000008802	Dnajc11	55735
ENSRNOG00000001203	Rrp1	8568
ENSRNOG00000049640	Olr1376	4992
ENSRNOG00000015221	Eif3f	8665
ENSRNOG00000002158	Ibsp	3381
ENSRNOG00000024250	Wwc3	55841
ENSRNOG00000048924	Islr	3671
ENSRNOG00000010986	Cmtm7	112616
ENSRNOG00000016672	Fam217a	222826
ENSRNOG00000032941	Mab21l1	4081
ENSRNOG00000036796	Cfap97d1	284067
ENSRNOG00000011066	March6	10299
ENSRNOG00000014049	Riok1	83732
ENSRNOG00000013260	Calr3	125972
ENSRNOG00000001859	Sdf2l1	23753
ENSRNOG00000013738	LOC100174910	401207
ENSRNOG00000061401	AC240814.1	2745
ENSRNOG00000021125	Prdx5	25824
ENSRNOG00000030452	Rimbp3	150221
ENSRNOG00000017420	Nudt6	11162
ENSRNOG00000014034	Olfml2a	169611
ENSRNOG00000002640	Serpinb5	5268
ENSRNOG00000006684	Zfp317	57693
ENSRNOG00000043085	Clstn2	64084
ENSRNOG00000007084	March10	162333
ENSRNOG00000027103	Gpr151	134391
ENSRNOG00000011338	Hdhd5	27440
